Vardas              Pavardė             Galutinis (Vid.)    Galutinis (Med.)   
Vardas3678          Pavarde3678         8.19                6.00                
Vardas7915          Pavarde7915         8.19                6.00                
Vardas8706          Pavarde8706         8.19                6.00                
Vardas9403          Pavarde9403         8.19                6.00                
Vardas4907          Pavarde4907         8.19                6.00                
Vardas5653          Pavarde5653         8.19                5.50                
Vardas5576          Pavarde5576         8.19                5.50                
Vardas7107          Pavarde7107         8.19                5.00                
Vardas9047          Pavarde9047         8.19                5.50                
Vardas9768          Pavarde9768         8.19                5.00                
Vardas5173          Pavarde5173         8.19                5.50                
Vardas1889          Pavarde1889         8.19                6.00                
Vardas5619          Pavarde5619         8.19                6.50                
Vardas1832          Pavarde1832         8.19                5.50                
Vardas3407          Pavarde3407         8.19                6.00                
Vardas1826          Pavarde1826         8.19                7.00                
Vardas7162          Pavarde7162         8.19                5.50                
Vardas3946          Pavarde3946         8.19                5.50                
Vardas3404          Pavarde3404         8.17                8.50                
Vardas7940          Pavarde7940         8.17                7.00                
Vardas857           Pavarde857          8.17                7.50                
Vardas3541          Pavarde3541         8.17                9.00                
Vardas7797          Pavarde7797         8.17                9.00                
Vardas2338          Pavarde2338         8.17                8.00                
Vardas2895          Pavarde2895         8.17                7.50                
Vardas3028          Pavarde3028         8.17                8.00                
Vardas938           Pavarde938          8.16                5.50                
Vardas241           Pavarde241          8.16                6.00                
Vardas3883          Pavarde3883         8.16                6.00                
Vardas7892          Pavarde7892         8.16                6.00                
Vardas7838          Pavarde7838         8.16                6.00                
Vardas4791          Pavarde4791         8.16                5.50                
Vardas7169          Pavarde7169         8.16                4.00                
Vardas113           Pavarde113          8.16                5.50                
Vardas3462          Pavarde3462         8.16                5.00                
Vardas3430          Pavarde3430         8.16                6.50                
Vardas4947          Pavarde4947         8.16                5.00                
Vardas6389          Pavarde6389         8.16                5.00                
Vardas3213          Pavarde3213         8.16                6.00                
Vardas4511          Pavarde4511         8.16                6.50                
Vardas803           Pavarde803          8.16                6.00                
Vardas4500          Pavarde4500         8.16                5.50                
Vardas5407          Pavarde5407         8.16                5.50                
Vardas8669          Pavarde8669         8.16                5.50                
Vardas3249          Pavarde3249         8.16                5.50                
Vardas6506          Pavarde6506         8.16                5.50                
Vardas3805          Pavarde3805         8.16                4.50                
Vardas5803          Pavarde5803         8.16                6.00                
Vardas6447          Pavarde6447         8.16                5.00                
Vardas8154          Pavarde8154         8.16                6.00                
Vardas2373          Pavarde2373         8.16                5.50                
Vardas8429          Pavarde8429         8.16                7.00                
Vardas7442          Pavarde7442         8.16                6.00                
Vardas4127          Pavarde4127         8.16                6.00                
Vardas220           Pavarde220          8.16                7.00                
Vardas4165          Pavarde4165         8.16                5.50                
Vardas62            Pavarde62           8.16                6.00                
Vardas8410          Pavarde8410         8.16                6.50                
Vardas5589          Pavarde5589         8.16                6.00                
Vardas4271          Pavarde4271         8.16                6.00                
Vardas3544          Pavarde3544         8.16                7.00                
Vardas6405          Pavarde6405         8.16                5.50                
Vardas8062          Pavarde8062         8.15                7.00                
Vardas7218          Pavarde7218         8.15                7.50                
Vardas308           Pavarde308          8.15                8.00                
Vardas2761          Pavarde2761         8.15                8.00                
Vardas7126          Pavarde7126         8.13                6.00                
Vardas9344          Pavarde9344         8.13                5.00                
Vardas4205          Pavarde4205         8.13                5.00                
Vardas576           Pavarde576          8.13                5.00                
Vardas6204          Pavarde6204         8.13                5.50                
Vardas6661          Pavarde6661         8.13                6.50                
Vardas870           Pavarde870          8.13                6.00                
Vardas487           Pavarde487          8.13                5.50                
Vardas5648          Pavarde5648         8.13                5.50                
Vardas3289          Pavarde3289         8.13                5.50                
Vardas2776          Pavarde2776         8.13                5.00                
Vardas5936          Pavarde5936         8.13                5.50                
Vardas6838          Pavarde6838         8.13                6.00                
Vardas4939          Pavarde4939         8.13                6.00                
Vardas1615          Pavarde1615         8.13                5.50                
Vardas2452          Pavarde2452         8.13                6.00                
Vardas158           Pavarde158          8.13                6.00                
Vardas4115          Pavarde4115         8.13                6.00                
Vardas5727          Pavarde5727         8.13                5.00                
Vardas4458          Pavarde4458         8.13                5.50                
Vardas6930          Pavarde6930         8.13                5.00                
Vardas9809          Pavarde9809         8.13                5.50                
Vardas6058          Pavarde6058         8.13                5.00                
Vardas2347          Pavarde2347         8.13                6.50                
Vardas9535          Pavarde9535         8.13                5.50                
Vardas6498          Pavarde6498         8.13                6.50                
Vardas485           Pavarde485          8.12                8.00                
Vardas8372          Pavarde8372         8.12                8.00                
Vardas624           Pavarde624          8.12                7.00                
Vardas8085          Pavarde8085         8.12                7.00                
Vardas7828          Pavarde7828         8.12                7.50                
Vardas5193          Pavarde5193         8.12                8.00                
Vardas8977          Pavarde8977         8.12                7.00                
Vardas7230          Pavarde7230         8.12                8.50                
Vardas778           Pavarde778          8.12                7.50                
Vardas1715          Pavarde1715         8.11                4.00                
Vardas3113          Pavarde3113         8.11                5.50                
Vardas5702          Pavarde5702         8.11                5.50                
Vardas5012          Pavarde5012         8.11                6.00                
Vardas5676          Pavarde5676         8.11                5.50                
Vardas5542          Pavarde5542         8.11                6.00                
Vardas3274          Pavarde3274         8.11                5.50                
Vardas2281          Pavarde2281         8.11                6.50                
Vardas1633          Pavarde1633         8.11                5.50                
Vardas6509          Pavarde6509         8.11                5.00                
Vardas1685          Pavarde1685         8.11                5.50                
Vardas2213          Pavarde2213         8.11                6.00                
Vardas1998          Pavarde1998         8.11                5.50                
Vardas4701          Pavarde4701         8.11                6.00                
Vardas7686          Pavarde7686         8.11                6.00                
Vardas9915          Pavarde9915         8.11                5.50                
Vardas9545          Pavarde9545         8.11                6.00                
Vardas6321          Pavarde6321         8.11                6.50                
Vardas3525          Pavarde3525         8.11                5.50                
Vardas2046          Pavarde2046         8.11                5.50                
Vardas1939          Pavarde1939         8.11                5.50                
Vardas1317          Pavarde1317         8.11                5.00                
Vardas9819          Pavarde9819         8.11                6.00                
Vardas6724          Pavarde6724         8.11                5.00                
Vardas6656          Pavarde6656         8.11                5.00                
Vardas9783          Pavarde9783         8.11                6.00                
Vardas8364          Pavarde8364         8.11                5.00                
Vardas2738          Pavarde2738         8.11                5.50                
Vardas6744          Pavarde6744         8.11                4.00                
Vardas5112          Pavarde5112         8.11                6.00                
Vardas4288          Pavarde4288         8.11                6.00                
Vardas2104          Pavarde2104         8.11                6.00                
Vardas8205          Pavarde8205         8.11                5.00                
Vardas7957          Pavarde7957         8.11                5.00                
Vardas1138          Pavarde1138         8.09                8.00                
Vardas7731          Pavarde7731         8.09                8.00                
Vardas500           Pavarde500          8.09                8.50                
Vardas2322          Pavarde2322         8.09                8.00                
Vardas69            Pavarde69           8.09                8.00                
Vardas4212          Pavarde4212         8.09                8.00                
Vardas8660          Pavarde8660         8.09                8.00                
Vardas6488          Pavarde6488         8.09                7.00                
Vardas3220          Pavarde3220         8.09                7.00                
Vardas1222          Pavarde1222         8.09                7.00                
Vardas270           Pavarde270          8.08                5.00                
Vardas9890          Pavarde9890         8.08                6.00                
Vardas841           Pavarde841          8.08                6.00                
Vardas9178          Pavarde9178         8.08                4.50                
Vardas3712          Pavarde3712         8.08                6.00                
Vardas4623          Pavarde4623         8.08                4.50                
Vardas4320          Pavarde4320         8.08                6.00                
Vardas4799          Pavarde4799         8.08                5.50                
Vardas6431          Pavarde6431         8.08                4.50                
Vardas9569          Pavarde9569         8.08                5.00                
Vardas1172          Pavarde1172         8.08                5.00                
Vardas8524          Pavarde8524         8.08                5.50                
Vardas2431          Pavarde2431         8.08                6.00                
Vardas4142          Pavarde4142         8.08                5.00                
Vardas890           Pavarde890          8.08                5.50                
Vardas225           Pavarde225          8.08                5.00                
Vardas5564          Pavarde5564         8.08                4.00                
Vardas6853          Pavarde6853         8.08                5.00                
Vardas1511          Pavarde1511         8.08                6.00                
Vardas8167          Pavarde8167         8.08                5.00                
Vardas444           Pavarde444          8.08                6.00                
Vardas3994          Pavarde3994         8.08                5.50                
Vardas1627          Pavarde1627         8.08                5.50                
Vardas2207          Pavarde2207         8.08                5.00                
Vardas7099          Pavarde7099         8.08                4.50                
Vardas1602          Pavarde1602         8.08                4.50                
Vardas2733          Pavarde2733         8.08                6.00                
Vardas4160          Pavarde4160         8.08                6.50                
Vardas782           Pavarde782          8.08                6.00                
Vardas668           Pavarde668          8.08                6.00                
Vardas5578          Pavarde5578         8.08                6.00                
Vardas5941          Pavarde5941         8.07                8.50                
Vardas8417          Pavarde8417         8.07                7.00                
Vardas3366          Pavarde3366         8.07                8.00                
Vardas7400          Pavarde7400         8.07                7.00                
Vardas1361          Pavarde1361         8.07                7.50                
Vardas850           Pavarde850          8.07                8.00                
Vardas5995          Pavarde5995         8.07                8.00                
Vardas7708          Pavarde7708         8.07                6.50                
Vardas5294          Pavarde5294         8.07                8.50                
Vardas195           Pavarde195          8.05                5.00                
Vardas3766          Pavarde3766         8.05                5.50                
Vardas8001          Pavarde8001         8.05                5.00                
Vardas7983          Pavarde7983         8.05                6.00                
Vardas6077          Pavarde6077         8.05                5.00                
Vardas3679          Pavarde3679         8.05                4.50                
Vardas2710          Pavarde2710         8.05                4.00                
Vardas8374          Pavarde8374         8.05                5.50                
Vardas8345          Pavarde8345         8.05                5.50                
Vardas6782          Pavarde6782         8.05                5.00                
Vardas9459          Pavarde9459         8.05                5.00                
Vardas484           Pavarde484          8.05                6.00                
Vardas3458          Pavarde3458         8.05                4.50                
Vardas5191          Pavarde5191         8.05                5.50                
Vardas5267          Pavarde5267         8.05                5.00                
Vardas3411          Pavarde3411         8.05                6.50                
Vardas6524          Pavarde6524         8.05                5.50                
Vardas7941          Pavarde7941         8.05                5.50                
Vardas7029          Pavarde7029         8.05                5.50                
Vardas8718          Pavarde8718         8.05                6.00                
Vardas7159          Pavarde7159         8.05                6.00                
Vardas9654          Pavarde9654         8.05                4.50                
Vardas7899          Pavarde7899         8.05                5.50                
Vardas7737          Pavarde7737         8.04                8.00                
Vardas3640          Pavarde3640         8.04                8.00                
Vardas3164          Pavarde3164         8.04                8.00                
Vardas1406          Pavarde1406         8.04                7.00                
Vardas7909          Pavarde7909         8.04                7.00                
Vardas613           Pavarde613          8.04                8.00                
Vardas587           Pavarde587          8.04                8.00                
Vardas4696          Pavarde4696         8.04                7.00                
Vardas9898          Pavarde9898         8.04                7.00                
Vardas4742          Pavarde4742         8.04                7.00                
Vardas2283          Pavarde2283         8.04                8.00                
Vardas6195          Pavarde6195         8.04                8.00                
Vardas2254          Pavarde2254         8.04                7.00                
Vardas25            Pavarde25           8.04                7.50                
Vardas7698          Pavarde7698         8.03                4.50                
Vardas6815          Pavarde6815         8.03                5.00                
Vardas7501          Pavarde7501         8.03                4.00                
Vardas5137          Pavarde5137         8.03                5.50                
Vardas5717          Pavarde5717         8.03                5.50                
Vardas6808          Pavarde6808         8.03                5.50                
Vardas8463          Pavarde8463         8.03                5.50                
Vardas8834          Pavarde8834         8.03                5.00                
Vardas3835          Pavarde3835         8.03                4.50                
Vardas2349          Pavarde2349         8.03                5.50                
Vardas1095          Pavarde1095         8.03                4.50                
Vardas6632          Pavarde6632         8.03                5.50                
Vardas7357          Pavarde7357         8.03                5.00                
Vardas6530          Pavarde6530         8.03                5.00                
Vardas8012          Pavarde8012         8.03                5.00                
Vardas8202          Pavarde8202         8.03                5.50                
Vardas1148          Pavarde1148         8.03                5.00                
Vardas4919          Pavarde4919         8.03                5.50                
Vardas4591          Pavarde4591         8.03                5.00                
Vardas8885          Pavarde8885         8.03                5.00                
Vardas7224          Pavarde7224         8.03                5.00                
Vardas7607          Pavarde7607         8.01                7.00                
Vardas7091          Pavarde7091         8.01                7.50                
Vardas4889          Pavarde4889         8.01                7.00                
Vardas4926          Pavarde4926         8.01                8.50                
Vardas112           Pavarde112          8.01                7.00                
Vardas5582          Pavarde5582         8.01                7.50                
Vardas6269          Pavarde6269         8.01                7.50                
Vardas2131          Pavarde2131         8.01                7.50                
Vardas9270          Pavarde9270         8.01                7.50                
Vardas6569          Pavarde6569         8.01                7.00                
Vardas2398          Pavarde2398         8.01                7.50                
Vardas702           Pavarde702          8.01                8.00                
Vardas9200          Pavarde9200         8.01                7.00                
Vardas9670          Pavarde9670         8.01                7.00                
Vardas5381          Pavarde5381         8.01                6.50                
Vardas1530          Pavarde1530         8.00                4.00                
Vardas1590          Pavarde1590         8.00                4.50                
Vardas6192          Pavarde6192         8.00                4.50                
Vardas3261          Pavarde3261         8.00                6.00                
Vardas9247          Pavarde9247         8.00                5.00                
Vardas4561          Pavarde4561         8.00                5.50                
Vardas6403          Pavarde6403         8.00                5.50                
Vardas9917          Pavarde9917         8.00                5.50                
Vardas1140          Pavarde1140         8.00                5.50                
Vardas5765          Pavarde5765         8.00                5.00                
Vardas589           Pavarde589          8.00                6.00                
Vardas2417          Pavarde2417         8.00                5.00                
Vardas1318          Pavarde1318         8.00                5.00                
Vardas8900          Pavarde8900         8.00                5.50                
Vardas6840          Pavarde6840         8.00                5.50                
Vardas1103          Pavarde1103         8.00                5.50                
Vardas5882          Pavarde5882         8.00                5.50                
Vardas690           Pavarde690          8.00                4.00                
Vardas9415          Pavarde9415         8.00                5.00                
Vardas9419          Pavarde9419         8.00                6.00                
Vardas9939          Pavarde9939         8.00                5.00                
Vardas2923          Pavarde2923         8.00                5.00                
Vardas3998          Pavarde3998         8.00                5.00                
Vardas116           Pavarde116          8.00                5.00                
Vardas2490          Pavarde2490         8.00                5.00                
Vardas4163          Pavarde4163         8.00                5.00                
Vardas498           Pavarde498          8.00                5.00                
Vardas4902          Pavarde4902         8.00                4.00                
Vardas4252          Pavarde4252         8.00                5.50                
Vardas5692          Pavarde5692         8.00                6.00                
Vardas6547          Pavarde6547         8.00                4.50                
Vardas3087          Pavarde3087         8.00                4.00                
Vardas2686          Pavarde2686         8.00                5.50                
Vardas512           Pavarde512          8.00                5.50                
Vardas773           Pavarde773          8.00                5.50                
Vardas7631          Pavarde7631         7.99                7.00                
Vardas1568          Pavarde1568         7.99                7.50                
Vardas5573          Pavarde5573         7.99                8.00                
Vardas9400          Pavarde9400         7.99                7.00                
Vardas2222          Pavarde2222         7.99                7.00                
Vardas917           Pavarde917          7.99                7.50                
Vardas6054          Pavarde6054         7.99                7.00                
Vardas6572          Pavarde6572         7.99                7.00                
Vardas163           Pavarde163          7.99                8.50                
Vardas8276          Pavarde8276         7.99                7.50                
Vardas1773          Pavarde1773         7.99                7.00                
Vardas1441          Pavarde1441         7.99                6.00                
Vardas5960          Pavarde5960         7.99                7.50                
Vardas8511          Pavarde8511         7.99                7.50                
Vardas1192          Pavarde1192         7.99                7.50                
Vardas4841          Pavarde4841         7.99                7.00                
Vardas3467          Pavarde3467         7.99                7.50                
Vardas696           Pavarde696          7.99                8.00                
Vardas1114          Pavarde1114         7.99                7.00                
Vardas1527          Pavarde1527         7.99                7.00                
Vardas6637          Pavarde6637         7.99                7.50                
Vardas1869          Pavarde1869         7.99                6.50                
Vardas1928          Pavarde1928         7.97                5.50                
Vardas5045          Pavarde5045         7.97                4.50                
Vardas412           Pavarde412          7.97                5.00                
Vardas6531          Pavarde6531         7.97                4.00                
Vardas7855          Pavarde7855         7.97                5.00                
Vardas5313          Pavarde5313         7.97                5.00                
Vardas4340          Pavarde4340         7.97                5.00                
Vardas9951          Pavarde9951         7.97                4.00                
Vardas9542          Pavarde9542         7.97                5.00                
Vardas9076          Pavarde9076         7.97                5.00                
Vardas452           Pavarde452          7.97                5.00                
Vardas6400          Pavarde6400         7.97                5.00                
Vardas5545          Pavarde5545         7.97                5.00                
Vardas4170          Pavarde4170         7.97                5.00                
Vardas7064          Pavarde7064         7.97                6.00                
Vardas6279          Pavarde6279         7.97                6.00                
Vardas6662          Pavarde6662         7.97                5.00                
Vardas6564          Pavarde6564         7.97                5.00                
Vardas6629          Pavarde6629         7.97                5.00                
Vardas2101          Pavarde2101         7.97                5.00                
Vardas1632          Pavarde1632         7.97                5.50                
Vardas9741          Pavarde9741         7.97                5.00                
Vardas3892          Pavarde3892         7.97                4.50                
Vardas7759          Pavarde7759         7.97                5.00                
Vardas2939          Pavarde2939         7.97                4.50                
Vardas9021          Pavarde9021         7.97                4.50                
Vardas4595          Pavarde4595         7.97                4.50                
Vardas6387          Pavarde6387         7.97                6.00                
Vardas8714          Pavarde8714         7.97                5.00                
Vardas6927          Pavarde6927         7.97                5.00                
Vardas542           Pavarde542          7.97                5.00                
Vardas7343          Pavarde7343         7.97                5.50                
Vardas5437          Pavarde5437         7.96                8.00                
Vardas9013          Pavarde9013         7.96                7.50                
Vardas1533          Pavarde1533         7.96                6.50                
Vardas4016          Pavarde4016         7.96                6.50                
Vardas8056          Pavarde8056         7.96                7.50                
Vardas2021          Pavarde2021         7.96                7.00                
Vardas2498          Pavarde2498         7.96                6.50                
Vardas3255          Pavarde3255         7.96                7.50                
Vardas2119          Pavarde2119         7.96                6.00                
Vardas8962          Pavarde8962         7.95                5.50                
Vardas7662          Pavarde7662         7.95                5.00                
Vardas8598          Pavarde8598         7.95                4.00                
Vardas9856          Pavarde9856         7.95                5.00                
Vardas6725          Pavarde6725         7.95                6.00                
Vardas2829          Pavarde2829         7.95                5.00                
Vardas8370          Pavarde8370         7.95                5.50                
Vardas3529          Pavarde3529         7.95                5.00                
Vardas6117          Pavarde6117         7.95                5.50                
Vardas2721          Pavarde2721         7.95                5.00                
Vardas8117          Pavarde8117         7.95                3.50                
Vardas6477          Pavarde6477         7.95                5.00                
Vardas7462          Pavarde7462         7.95                4.50                
Vardas2800          Pavarde2800         7.95                5.00                
Vardas3501          Pavarde3501         7.95                4.00                
Vardas9272          Pavarde9272         7.95                6.00                
Vardas4564          Pavarde4564         7.95                5.50                
Vardas6374          Pavarde6374         7.95                5.00                
Vardas1239          Pavarde1239         7.95                5.50                
Vardas2234          Pavarde2234         7.95                5.00                
Vardas1496          Pavarde1496         7.95                5.50                
Vardas8661          Pavarde8661         7.95                5.00                
Vardas5315          Pavarde5315         7.95                5.50                
Vardas5319          Pavarde5319         7.95                5.00                
Vardas2995          Pavarde2995         7.95                4.50                
Vardas4523          Pavarde4523         7.95                4.50                
Vardas6318          Pavarde6318         7.95                5.00                
Vardas788           Pavarde788          7.93                7.00                
Vardas7636          Pavarde7636         7.93                6.50                
Vardas6993          Pavarde6993         7.93                7.00                
Vardas1479          Pavarde1479         7.93                7.00                
Vardas989           Pavarde989          7.93                7.00                
Vardas651           Pavarde651          7.93                7.50                
Vardas2935          Pavarde2935         7.93                7.00                
Vardas8065          Pavarde8065         7.93                7.50                
Vardas9519          Pavarde9519         7.93                7.00                
Vardas9580          Pavarde9580         7.93                6.50                
Vardas6666          Pavarde6666         7.93                7.00                
Vardas2090          Pavarde2090         7.93                7.00                
Vardas2081          Pavarde2081         7.93                7.50                
Vardas1629          Pavarde1629         7.93                7.00                
Vardas4204          Pavarde4204         7.93                6.00                
Vardas4747          Pavarde4747         7.93                7.00                
Vardas272           Pavarde272          7.93                6.50                
Vardas2540          Pavarde2540         7.93                6.50                
Vardas7177          Pavarde7177         7.93                7.50                
Vardas8597          Pavarde8597         7.93                6.50                
Vardas73            Pavarde73           7.92                5.00                
Vardas338           Pavarde338          7.92                5.50                
Vardas2300          Pavarde2300         7.92                5.50                
Vardas6545          Pavarde6545         7.92                5.50                
Vardas4774          Pavarde4774         7.92                6.00                
Vardas5371          Pavarde5371         7.92                4.50                
Vardas3484          Pavarde3484         7.92                4.50                
Vardas4421          Pavarde4421         7.92                4.00                
Vardas6226          Pavarde6226         7.92                4.50                
Vardas7044          Pavarde7044         7.92                4.00                
Vardas5561          Pavarde5561         7.92                5.00                
Vardas8392          Pavarde8392         7.92                4.50                
Vardas5475          Pavarde5475         7.92                5.00                
Vardas3260          Pavarde3260         7.92                4.50                
Vardas1314          Pavarde1314         7.92                5.00                
Vardas7937          Pavarde7937         7.92                5.00                
Vardas8716          Pavarde8716         7.92                6.00                
Vardas511           Pavarde511          7.92                5.50                
Vardas4354          Pavarde4354         7.92                4.50                
Vardas5258          Pavarde5258         7.92                5.00                
Vardas8557          Pavarde8557         7.92                5.00                
Vardas849           Pavarde849          7.92                4.00                
Vardas3428          Pavarde3428         7.92                5.00                
Vardas2429          Pavarde2429         7.92                3.50                
Vardas6701          Pavarde6701         7.91                8.00                
Vardas7258          Pavarde7258         7.91                6.50                
Vardas135           Pavarde135          7.91                6.00                
Vardas1596          Pavarde1596         7.91                7.00                
Vardas7422          Pavarde7422         7.91                6.00                
Vardas9208          Pavarde9208         7.91                7.00                
Vardas3673          Pavarde3673         7.91                6.50                
Vardas7867          Pavarde7867         7.91                6.00                
Vardas5630          Pavarde5630         7.91                6.50                
Vardas6789          Pavarde6789         7.91                6.50                
Vardas5415          Pavarde5415         7.91                7.00                
Vardas3563          Pavarde3563         7.91                6.50                
Vardas404           Pavarde404          7.91                7.50                
Vardas8854          Pavarde8854         7.91                7.50                
Vardas6401          Pavarde6401         7.91                7.00                
Vardas675           Pavarde675          7.91                7.00                
Vardas817           Pavarde817          7.91                7.50                
Vardas7161          Pavarde7161         7.91                7.50                
Vardas899           Pavarde899          7.91                7.00                
Vardas7936          Pavarde7936         7.91                7.00                
Vardas9338          Pavarde9338         7.91                6.50                
Vardas8659          Pavarde8659         7.91                7.50                
Vardas6751          Pavarde6751         7.91                7.00                
Vardas4378          Pavarde4378         7.91                7.00                
Vardas3107          Pavarde3107         7.91                6.00                
Vardas5827          Pavarde5827         7.89                5.00                
Vardas3707          Pavarde3707         7.89                4.00                
Vardas7695          Pavarde7695         7.89                5.00                
Vardas8715          Pavarde8715         7.89                4.50                
Vardas9512          Pavarde9512         7.89                4.50                
Vardas6193          Pavarde6193         7.89                5.50                
Vardas9707          Pavarde9707         7.89                4.50                
Vardas250           Pavarde250          7.89                4.50                
Vardas4195          Pavarde4195         7.89                4.50                
Vardas1386          Pavarde1386         7.89                5.50                
Vardas9431          Pavarde9431         7.89                4.50                
Vardas1868          Pavarde1868         7.89                8.00                
Vardas5519          Pavarde5519         7.89                5.00                
Vardas9965          Pavarde9965         7.89                4.50                
Vardas8024          Pavarde8024         7.89                5.00                
Vardas8259          Pavarde8259         7.89                5.00                
Vardas881           Pavarde881          7.89                5.00                
Vardas8044          Pavarde8044         7.89                5.00                
Vardas1587          Pavarde1587         7.89                4.50                
Vardas9586          Pavarde9586         7.89                4.50                
Vardas9639          Pavarde9639         7.89                5.00                
Vardas1878          Pavarde1878         7.88                7.50                
Vardas1323          Pavarde1323         7.88                7.00                
Vardas4150          Pavarde4150         7.88                7.00                
Vardas8586          Pavarde8586         7.88                6.50                
Vardas9510          Pavarde9510         7.88                6.50                
Vardas7621          Pavarde7621         7.88                6.50                
Vardas4152          Pavarde4152         7.88                7.00                
Vardas7609          Pavarde7609         7.88                8.00                
Vardas6492          Pavarde6492         7.88                7.00                
Vardas9207          Pavarde9207         7.88                6.50                
Vardas5015          Pavarde5015         7.88                7.50                
Vardas465           Pavarde465          7.88                8.00                
Vardas6290          Pavarde6290         7.88                7.00                
Vardas9114          Pavarde9114         7.88                8.00                
Vardas326           Pavarde326          7.88                6.00                
Vardas1794          Pavarde1794         7.88                6.50                
Vardas4693          Pavarde4693         7.88                6.50                
Vardas9879          Pavarde9879         7.88                6.50                
Vardas1375          Pavarde1375         7.88                7.50                
Vardas8373          Pavarde8373         7.88                7.00                
Vardas1115          Pavarde1115         7.87                4.50                
Vardas8618          Pavarde8618         7.87                6.00                
Vardas9548          Pavarde9548         7.87                5.50                
Vardas996           Pavarde996          7.87                5.00                
Vardas2685          Pavarde2685         7.87                4.00                
Vardas4282          Pavarde4282         7.87                5.00                
Vardas20            Pavarde20           7.87                4.50                
Vardas6307          Pavarde6307         7.87                4.50                
Vardas9835          Pavarde9835         7.87                4.50                
Vardas4878          Pavarde4878         7.87                5.00                
Vardas5524          Pavarde5524         7.87                4.50                
Vardas9935          Pavarde9935         7.87                5.00                
Vardas6763          Pavarde6763         7.87                4.50                
Vardas1135          Pavarde1135         7.87                5.00                
Vardas2463          Pavarde2463         7.87                5.00                
Vardas3773          Pavarde3773         7.87                5.00                
Vardas2127          Pavarde2127         7.87                3.50                
Vardas2878          Pavarde2878         7.87                5.00                
Vardas8959          Pavarde8959         7.87                4.00                
Vardas9143          Pavarde9143         7.85                6.50                
Vardas6801          Pavarde6801         7.85                8.00                
Vardas9750          Pavarde9750         7.85                6.50                
Vardas8298          Pavarde8298         7.85                7.00                
Vardas9912          Pavarde9912         7.85                6.50                
Vardas5351          Pavarde5351         7.85                7.00                
Vardas8064          Pavarde8064         7.85                6.50                
Vardas8852          Pavarde8852         7.85                6.00                
Vardas3416          Pavarde3416         7.85                6.50                
Vardas1803          Pavarde1803         7.85                7.50                
Vardas9006          Pavarde9006         7.85                6.50                
Vardas7436          Pavarde7436         7.85                7.50                
Vardas9739          Pavarde9739         7.85                6.50                
Vardas7894          Pavarde7894         7.85                6.50                
Vardas2572          Pavarde2572         7.85                6.50                
Vardas221           Pavarde221          7.85                5.50                
Vardas9115          Pavarde9115         7.85                6.50                
Vardas9334          Pavarde9334         7.85                6.50                
Vardas7931          Pavarde7931         7.85                7.00                
Vardas8240          Pavarde8240         7.85                7.00                
Vardas4071          Pavarde4071         7.85                7.00                
Vardas5711          Pavarde5711         7.85                6.50                
Vardas3926          Pavarde3926         7.85                7.00                
Vardas8338          Pavarde8338         7.85                7.00                
Vardas6829          Pavarde6829         7.85                6.50                
Vardas873           Pavarde873          7.85                6.00                
Vardas3047          Pavarde3047         7.85                7.50                
Vardas9558          Pavarde9558         7.85                7.00                
Vardas1664          Pavarde1664         7.85                7.00                
Vardas6706          Pavarde6706         7.84                4.00                
Vardas1694          Pavarde1694         7.84                4.00                
Vardas9110          Pavarde9110         7.84                4.00                
Vardas662           Pavarde662          7.84                5.50                
Vardas8723          Pavarde8723         7.84                5.50                
Vardas2076          Pavarde2076         7.84                3.50                
Vardas9685          Pavarde9685         7.84                4.00                
Vardas9096          Pavarde9096         7.84                5.00                
Vardas9201          Pavarde9201         7.84                5.00                
Vardas7538          Pavarde7538         7.84                4.50                
Vardas5289          Pavarde5289         7.84                4.50                
Vardas4415          Pavarde4415         7.84                5.50                
Vardas676           Pavarde676          7.84                4.00                
Vardas6982          Pavarde6982         7.84                4.00                
Vardas8336          Pavarde8336         7.84                4.50                
